local_authority,2022_to_2023,2023_to_2024,2024_to_2025,total_allocation,name_clean
Greater Manchester CA,259200,590400,590400,1440000,greater manchester ca
Tees Valley CA,102960,234520,234520,572000,tees valley ca
Blackburn with Darwen,64800,147600,147600,360000,blackburn with darwen
Blackpool,64800,147600,147600,360000,blackpool
"Bournemouth, Christchurch and Poole",67140,152930,152930,373000,"bournemouth, christchurch and poole"
Bracknell Forest,53280,121360,121360,296000,bracknell forest
Brighton and Hove,81000,184500,184500,450000,brighton and hove
Buckinghamshire,72540,165230,165230,403000,buckinghamshire
Central Bedfordshire,62640,142680,142680,348000,central bedfordshire
Cheshire East,70020,159490,159490,389000,cheshire east
Cheshire West and Chester,67140,152930,152930,373000,cheshire west and chester
Cornwall and Scilly,90540,206230,206230,503000,cornwall and scilly
Cumberland,75420,171790,171790,419000,cumberland
Derby,63900,145550,145550,355000,derby
Derbyshire,127440,290280,290280,708000,derbyshire
Devon,118800,270600,270600,660000,devon
East Sussex,105660,240670,240670,587000,east sussex
Essex,129600,295200,295200,720000,essex
Gloucestershire,93960,214020,214020,522000,gloucestershire
Hampshire,129600,295200,295200,720000,hampshire
"Herefordshire, County of",52740,120130,120130,293000,"herefordshire, county of"
Hertfordshire,129600,295200,295200,720000,hertfordshire
Isle of Wight,56700,129150,129150,315000,isle of wight
Kent,129600,295200,295200,720000,kent
"Kingston upon Hull, City of",73800,168100,168100,410000,"kingston upon hull, city of"
Lancashire,129600,295200,295200,720000,lancashire
Leicester,80820,184090,184090,449000,leicester
Leicestershire,95400,217300,217300,530000,leicestershire
Lincolnshire,106920,243540,243540,594000,lincolnshire
Luton,60120,136940,136940,334000,luton
Medway,68040,154980,154980,378000,medway
Milton Keynes,68760,156620,156620,382000,milton keynes
North Lincolnshire,58140,132430,132430,323000,north lincolnshire
North Northamptonshire,77220,175890,175890,429000,north northamptonshire
North Somerset,54180,123410,123410,301000,north somerset
Nottingham,70020,159490,159490,389000,nottingham
Nottinghamshire,117360,267320,267320,652000,nottinghamshire
Oxfordshire,95220,216890,216890,529000,oxfordshire
Plymouth,73620,167690,167690,409000,plymouth
Portsmouth,82440,187780,187780,458000,portsmouth
Reading,60840,138580,138580,338000,reading
Rutland,50760,115620,115620,282000,rutland
Shropshire,65160,148420,148420,362000,shropshire
Slough,72180,164410,164410,401000,slough
Somerset,75420,171790,171790,419000,somerset
Southampton,62100,141450,141450,345000,southampton
Southend-on-Sea,64980,148010,148010,361000,southend-on-sea
Staffordshire,110340,251330,251330,613000,staffordshire
Suffolk,105660,240670,240670,587000,suffolk
Surrey,118260,269370,269370,657000,surrey
Swindon,68220,155390,155390,379000,swindon
Telford and Wrekin,63720,145140,145140,354000,telford and wrekin
Thurrock,59040,134480,134480,328000,thurrock
Torbay,59580,135710,135710,331000,torbay
Warrington,63360,144320,144320,352000,warrington
Warwickshire,92340,210330,210330,513000,warwickshire
West Berkshire,50220,114390,114390,279000,west berkshire
West Northamptonshire,73620,167690,167690,409000,west northamptonshire
West Sussex,112500,256250,256250,625000,west sussex
Westmorland and Furness,67860,154570,154570,377000,westmorland and furness
Wiltshire,86400,196800,196800,480000,wiltshire
Windsor and Maidenhead,58860,134070,134070,327000,windsor and maidenhead
Wokingham,50760,115620,115620,282000,wokingham
Worcestershire,96120,218940,218940,534000,worcestershire
York,56340,128330,128330,313000,york
