authority_code,authority_name,longitude,latitude
E06000001,Hartlepool,-1.27018,54.6761
E06000002,Middlesbrough,-1.21099,54.5447
E06000003,Redcar and Cleveland,-1.00608,54.5675
E06000004,Stockton-on-Tees,-1.30664,54.5569
E06000005,Darlington,-1.56835,54.5353
E06000006,Halton,-2.68853,53.3342
E06000007,Warrington,-2.56167,53.3916
E06000008,Blackburn with Darwen,-2.4636,53.7008
E06000009,Blackpool,-3.02199,53.8216
E06000010,"Kingston upon Hull, City of",-0.30382,53.7692
E06000011,East Riding of Yorkshire,-0.66195,53.8811
E06000012,North East Lincolnshire,-0.13911,53.5233
E06000013,North Lincolnshire,-0.52407,53.5864
E06000014,York,-1.07375,53.9658
E06000015,Derby,-1.47189,52.9146
E06000016,Leicester,-1.1304,52.6359
E06000017,Rutland,-0.6263,52.6676
E06000018,Nottingham,-1.16667,52.9542
E06000019,"Herefordshire, County of",-2.73931,52.0815
E06000020,Telford and Wrekin,-2.48941,52.7142
E06000021,Stoke-on-Trent,-2.15888,53.0171
E06000022,Bath and North East Somerset,-2.48654,51.356
E06000023,"Bristol, City of",-2.57742,51.4711
E06000024,North Somerset,-2.75438,51.3971
E06000025,South Gloucestershire,-2.46922,51.5467
E06000026,Plymouth,-4.11297,50.4049
E06000027,Torbay,-3.55523,50.4709
E06000030,Swindon,-1.73367,51.5776
E06000031,Peterborough,-0.26874,52.5921
E06000032,Luton,-0.42319,51.891
E06000033,Southend-on-Sea,0.706923,51.5492
E06000034,Thurrock,0.334861,51.51
E06000035,Medway,0.563174,51.4477
E06000036,Bracknell Forest,-0.73363,51.4113
E06000037,West Berkshire,-1.27364,51.4456
E06000038,Reading,-0.99071,51.453
E06000039,Slough,-0.57617,51.5035
E06000040,Windsor and Maidenhead,-0.67541,51.4803
E06000041,Wokingham,-0.89935,51.423
E06000042,Milton Keynes,-0.7407,52.0724
E06000043,Brighton and Hove,-0.15079,50.8465
E06000044,Portsmouth,-1.07006,50.808
E06000045,Southampton,-1.39952,50.9212
E06000046,Isle of Wight,-1.33366,50.6713
E06000047,County Durham,-1.8405,54.6851
E06000049,Cheshire East,-2.29299,53.1679
E06000050,Cheshire West and Chester,-2.70298,53.1634
E06000051,Shropshire,-2.73667,52.6221
E06000052,Cornwall,-4.64254,50.4502
E06000053,Isles of Scilly,-6.30217,49.9233
