,name,2022_to_2023,2023_to_2024,2024_to_2025,total_allocation,name_clean,local-authority-code,official-name,nice-name,gss-code,start-date,end-date,replaced-by,nation,region,local-authority-type,local-authority-type-name,county-la,combined-authority,alt-names,former-gss-codes,notes,current-authority,BS-6879,ecode,even-older-register-and-code,gov-uk-slug,area,pop-2020,x,y,long,lat,powers,lower-or-unitary,mapit-area-code,ofcom,old-ons-la-code,old-register-and-code,open-council-data-id,os-file,os,snac,wdtk-id
0,Bedford,62280,141860,141860,346000,bedford,BDF,Bedford Borough Council,Bedford,E06000055,2009-04-01,,,England,East of England,UA,Unitary authority,,,"Bedford,Bedford UA,bedford,bedford borough council",,,True,BDF,E0202,,bedford,476.0,174687.0,504204.7733130215,255641.44786357463,52.18918053057245,-0.4770824350213,unitary,True,UTA,00-KB,822,local-authority-eng:BDF,328.0,BEDFORD_(B),7000000000043870.0,00KB,66.0
1,Blackburn with Darwen,64800,147600,147600,360000,blackburn with darwen,BBD,Blackburn with Darwen Borough Council,Blackburn with Darwen,E06000008,1998-04-01,,,England,North West,UA,Unitary authority,,,"Blackburn with Darwen,Blackburn With Darwen UA,blackburn,blackburn with darwen,blackburn with darwen borough council",,,True,BBD,E2301,,blackburn-with-darwen,137.0,150030.0,369223.83412568393,421897.90987110056,53.69261245008202,-2.4675476946208126,unitary,True,UTA,00-EX,889,local-authority-eng:BBD,365.0,BLACKBURN_WITH_DARWEN_(B),7000000000038840.0,00EX,73.0
2,Blackpool,64800,147600,147600,360000,blackpool,BPL,Blackpool Borough Council,Blackpool,E06000009,2005-06-20,,,England,North West,UA,Unitary authority,,,"Blackpool,Blackpool UA,blackpool,blackpool borough council",,,True,BPL,E2302,,blackpool,35.0,138381.0,331922.11323185853,436206.8274303917,53.817662831154095,-3.035526339791786,unitary,True,UTA,00-EY,890,local-authority-eng:BPL,329.0,BLACKPOOL_(B),7000000000038860.0,00EY,74.0
3,"Bournemouth, Christchurch and Poole",67140,152930,152930,373000,"bournemouth, christchurch and poole",BPC,"Bournemouth, Christchurch and Poole Council","Bournemouth, Christchurch and Poole",E06000058,2019-04-01,,,England,South West,UA,Unitary authority,,,"Bournemouth, Christchurch and Poole,Bournemouth Christchurch and Poole,bournemouth, christchurch and poole borough council",,,True,BPC,,,,162.0,396989.0,408331.4461304312,94163.61603601948,50.74701827327496,-1.8832767544275928,unitary,True,DIS,,,local-authority-eng:BPC,,"BOURNEMOUTH,_CHRISTCHURCH_AND_POOLE",,,91513.0
4,Bracknell Forest,53280,121360,121360,296000,bracknell forest,BRC,Bracknell Forest Council,Bracknell Forest,E06000036,1998-04-01,,,England,South East,UA,Unitary authority,,,"Bracknell Forest,Bracknell Forest UA",,,True,BRC,E0301,,bracknell-forest,109.0,124165.0,487751.6654633145,168429.67502733375,51.40811249783455,-0.7397376225054983,unitary,True,UTA,00-MA,867,local-authority-eng:BRC,331.0,BRACKNELL_FOREST_(B),7000000000038890.0,00MA,81.0
5,Brighton and Hove,81000,184500,184500,450000,brighton and hove,BNH,Brighton and Hove City Council,Brighton and Hove,E06000043,2005-06-19,,,England,South East,UA,Unitary authority,,,"Brighton and Hove,Brighton & Hove UA,brighton and hove,brighton and hove city council,city of brighton and hove,the city of brighton and hove",,,True,BNH,E1401,,brighton-and-hove,83.0,291738.0,531532.8870965125,106544.7482977504,50.84348509595687,-0.1331354533735592,unitary,True,UTA,00-ML,846,local-authority-eng:BNH,332.0,THE_CITY_OF_BRIGHTON_AND_HOVE_(B),7000000000036740.0,00ML,89.0
6,Buckinghamshire,72540,165230,165230,403000,buckinghamshire,BUC,Buckinghamshire Council,Buckinghamshire,E06000060,2020-04-01,,,England,South East,UA,Unitary authority,,,"Buckinghamshire,buckinghamshire",,,True,BUC,,,,1565.0,547060.0,482074.4271585195,210257.0375405786,51.78496412170722,-0.8115708416412193,unitary,True,,,,local-authority-eng:BUC,,,,,96.0
7,Central Bedfordshire,62640,142680,142680,348000,central bedfordshire,CBF,Central Bedfordshire Council,Central Bedfordshire,E06000056,2009-04-01,,,England,East of England,UA,Unitary authority,,,"Central Bedfordshire,Central Bedfordshire UA,central bedfordshire,central bedfordshire council",,,True,CBF,E0203,,central-bedfordshire,716.0,294096.0,507430.3287012733,235397.85955096743,52.00662956306432,-0.4362919550907491,unitary,True,UTA,00-KC,823,local-authority-eng:CBF,333.0,CENTRAL_BEDFORDSHIRE,7000000000043870.0,00KC,4311.0
8,Cheshire East,70020,159490,159490,389000,cheshire east,CHE,Cheshire East Council,Cheshire East,E06000049,2009-04-01,,,England,North West,UA,Unitary authority,,,"Cheshire East,Cheshire East UA",,,True,CHE,E0603,,cheshire-east,1166.0,386667.0,376709.8193074716,364853.88262483024,53.18027089095206,-2.3499425324278875,unitary,True,UTA,00-EQ,895,local-authority-eng:CHE,334.0,CHESHIRE_EAST_(B),7000000000043550.0,00EQ,4305.0
9,Cheshire West and Chester,67140,152930,152930,373000,cheshire west and chester,CHW,Cheshire West and Chester Council,Cheshire West and Chester,E06000050,2009-04-01,,,England,North West,UA,Unitary authority,,,"Cheshire West and Chester,Cheshire West And Chester UA",,,True,CHW,E0604,,cheshire-west-and-chester,920.0,343823.0,350941.3416042136,367261.8096437295,53.2001564783003,-2.7358562336423207,unitary,True,UTA,00-EW,896,local-authority-eng:CHW,335.0,CHESHIRE_WEST_AND_CHESTER_(B),7000000000043550.0,00EW,4306.0
